split,model,band_total_row_diff_target,changed_rows,swaps,fixes,breaks,net_gain_rows,flip_precision,anchor_accuracy,candidate_accuracy,delta_accuracy
val_random_uniform_seed404,ridge_fast,850,76,38,42,34,8,0.5526315789473685,0.7598519703940788,0.760252050410082,0.0004000800160032236
val_random_uniform_seed505,ridge_fast,50,50,25,29,21,8,0.58,0.7665533106621324,0.7669533906781356,0.0004000800160032236
val_random_uniform_seed505,ridge_fast,100,70,35,40,30,10,0.5714285714285714,0.7665533106621324,0.7670534106821364,0.0005001000200040018
val_random_uniform_seed505,ridge_fast,150,70,35,40,30,10,0.5714285714285714,0.7665533106621324,0.7670534106821364,0.0005001000200040018
val_random_uniform_seed505,ridge_fast,300,70,35,40,30,10,0.5714285714285714,0.7665533106621324,0.7670534106821364,0.0005001000200040018
val_random_uniform_seed505,ridge_fast,500,70,35,40,30,10,0.5714285714285714,0.7665533106621324,0.7670534106821364,0.0005001000200040018
val_random_uniform_seed505,ridge_fast,850,70,35,40,30,10,0.5714285714285714,0.7665533106621324,0.7670534106821364,0.0005001000200040018
val_random_uniform_seed606,ridge_fast,50,50,25,18,32,-14,0.36,0.7584516903380676,0.757751550310062,-0.0007001400280055581
val_random_uniform_seed606,ridge_fast,100,60,30,23,37,-14,0.38333333333333336,0.7584516903380676,0.757751550310062,-0.0007001400280055581
val_random_uniform_seed606,ridge_fast,150,60,30,23,37,-14,0.38333333333333336,0.7584516903380676,0.757751550310062,-0.0007001400280055581
val_random_uniform_seed606,ridge_fast,300,60,30,23,37,-14,0.38333333333333336,0.7584516903380676,0.757751550310062,-0.0007001400280055581
val_random_uniform_seed606,ridge_fast,500,60,30,23,37,-14,0.38333333333333336,0.7584516903380676,0.757751550310062,-0.0007001400280055581
val_random_uniform_seed606,ridge_fast,850,60,30,23,37,-14,0.38333333333333336,0.7584516903380676,0.757751550310062,-0.0007001400280055581
